Reasons,Count,Percentage
Unavailable channel,0,0.0
"Spam, deceptive practices",140,0.17743979721166034
(C) infringment,22,0.02788339670468948
Non existant channel,22,0.02788339670468948
Violation of Youtube Terms of Service,30,0.03802281368821293
Harass bully or threaten,1,0.0012674271229404308
Violation of Community Guidelines,1,0.0012674271229404308
Brand accounts not supported,2,0.0025348542458808617
Violation of Google Terms of Service,4,0.005069708491761723
Account linked to acount with (C)  infringement,2,0.0025348542458808617
Violation policy on nudity or sexual content,1,0.0012674271229404308
