Reasons,Count,Percentage,"Percentage[0,1]"
Unavailable channel,4,0.4400440044,0.004400440044
"Spam, deceptive practices",67,7.370737074,0.07370737074
(C) infringement,37,4.070407041,0.04070407041
Non existant channel,11,1.210121012,0.01210121012
Violation of Youtube Terms of Service,6,0.6600660066,0.006600660066
Harass bully or threaten,0,0,0
Violation of Community Guidelines,1,0.1100110011,0.001100110011
Brand accounts not supported,1,0.1100110011,0.001100110011
Violation of Google Terms of Service,0,0,0
Account linked to acount with (C)  infringement,1,0.1100110011,0.001100110011
Violation policy on nudity or sexual content,0,0,0
,128,14.08140814,0.1408140814
