Reasons,Count,Percentage
Unavailable channel,4,0.0044004400440044
"Spam, deceptive practices",67,0.0737073707370737
(C) infringment,37,0.0407040704070407
Non existant channel,11,0.0121012101210121
Violation of Youtube Terms of Service,6,0.006600660066006601
Harass bully or threaten,0,0.0
Violation of Community Guidelines,1,0.0011001100110011
Brand accounts not supported,1,0.0011001100110011
Violation of Google Terms of Service,0,0.0
Account linked to acount with (C)  infringement,1,0.0011001100110011
Violation policy on nudity or sexual content,0,0.0
