id,category,videoCount,hiddenSubscriberCount,subscriberCount,viewCount,descriptionCharCount,keywordsCount,topicCount,madeForKids,disturbingCount,suitableCount,suitableRatio,madeForKidsRatio,madeForKidsVideosCount,madeForKidsDisturbing,instagram,twitter,facebook,spotify,twitch,patreon,vk,plus.google,play.google,steam,myspace,merchandise,kids,animation,funny,toys,cartoon,fun,children,cartoons,comedy,nursery rhymes,Entertainment,Film,Lifestyle_(sociology),Music,Hobby,Video_game_culture,Action-adventure_game,Television_program,Action_game,Role-playing_video_game,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surpise,Trust,linksCount,subscriptionCount,descriptionPolarity(positive),descriptionPolarity(negative),keywordsPositivePolarity,keywordsNegativePolarity,postMeanPositivePolarity,postMeanNegativePolarity,:heart_suit:,:registered:,:red_heart:,:copyright:,:trade_mark:,:sparkling_heart:,:biohazard:,:two_hearts:,:smiling_face_with_smiling_eyes:,:snowflake:,:smiling_face_with_heart-eyes:,:red_heart:,:backhand_index_pointing_right:,:face_with_tears_of_joy:,:fish:,:backhand_index_pointing_down:,:delivery_truck:,:heart_suit:,:purple_heart:,:boar:,emojiDescriptionScore,emojiPostsScore,publishedAt,videoIds,description,keywords,topicCategories,country
UC_Q51pfEm5-L7Q7N-i1W3wg,suitable,18,FALSE,106000,3243407,109,1,2,,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2014-07-06T08:20:04Z,"[{'classification_label': 'suitable', 'channelId': 'UC_Q51pfEm5-L7Q7N-i1W3wg', 'id': 'RYq0wVVXSJo', 'publishedAt': '2018-05-06T09:35:46.000Z', 'madeForKids': 'uknown'}]","Thanks for visiting GKC and don't forget to subscribe to our channel.

Instagram: https://www.instagram.com/theofficialgkc/",['gkc'],"['Hobby', 'Lifestyle_(sociology)']",CA
UCAqHpEnYCNEbBSOtSKI6D1A,suitable,136,FALSE,2810,4270044,567,,2,,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,,0.32925,2014-03-15T22:07:29Z,"[{'classification_label': 'suitable', 'channelId': 'UCAqHpEnYCNEbBSOtSKI6D1A', 'id': 'w0xGZkViRYU', 'publishedAt': '2014-03-16T11:35:25.000Z', 'madeForKids': True}]","oggy new season, oggy new season marked 195, oggy new season 4, oggy new season 2013, oggy new season from mumbai with love hd, oggy new season hd, oggy new season in hindi, oggy new season oggy is getting married, oggy new season wake up my lovely, oggy new season (market 195), oggy new season back to the past, oggy new series, oggy new show, oggy and the cockroaches new season, oggy and the cockroaches new show, Oggy new season Oggy 2013 Shoplifting, Oggy and the cockroaches new episode in hindi 2013, Oggy and the Cockroaches Bugball, Oggy and the cockroaches games, Oggy and the cockroaches, cockroach facts, oggy and the cockroaches cartoon, oggy and the cockroaches season 4",,"['Lifestyle_(sociology)', 'Hobby']",
UCIiKn4Qet8YBnSgyh36KAeg,suitable,3,FALSE,108000,17412,69,8,3,,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0.30125,2011-08-07T17:14:55Z,"[{'classification_label': 'suitable', 'channelId': 'UCIiKn4Qet8YBnSgyh36KAeg', 'id': 'lNIxEqDEglU', 'publishedAt': '2012-05-08T16:26:09.000Z', 'madeForKids': 'uknown'}]","#Disney studios, #Parcs et bien plus encore ! #disneyhistory #legends #archives","['walt', 'disney', 'attractions', 'disneyland', 'parcs', 'ride', 'histoire', 'secrets']","['Entertainment', 'Tourism', 'Lifestyle_(sociology)']",FR
UCCaabPFpqlTog1a9NcGNg0g,suitable,25,FALSE,1500000,1012294,149,18,3,TRUE,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2016-12-03T13:22:20Z,"[{'classification_label': 'suitable', 'channelId': 'UCCaabPFpqlTog1a9NcGNg0g', 'id': 'lH51QfoEegU', 'publishedAt': '2018-08-16T10:10:51.000Z', 'madeForKids': 'uknown'}, {'classification_label': 'suitable', 'channelId': 'UCCaabPFpqlTog1a9NcGNg0g', 'id': 'LZmN1UUARLM', 'publishedAt': '2018-08-22T14:07:27.000Z', 'madeForKids': 'uknown'}]","नमस्कार!  यह चैनल का मिशन छोटे बच्चों को मजाकिया और बहुत मनोरंजक कहानियों और नर्सरी राइम हिंदी में पढ़ाने और सिखाने के लिए है।

Copyright Lights Creative Group.All Rights Reserved.","['toddler town बच्चे का शहर', 'nursery rhymes', 'hindi rhymes', 'Hindi baby songs', 'Hindi rhymes playlist', 'toddler town', 'बच्चों के गाने', 'नर्सरी गाया जाता है', 'बच्चे वीडियो', 'बच्चों के कार्टून', 'बच्चे के गाने सीखना', 'bal geet in hindi', 'rhymes in Hindi', 'Hindi rhymes for kids', 'bachon ke songs hindi', 'sing-along songs', 'kids song', 'Hindi Stories for Kids']","['Entertainment', 'Music', 'Film']",US
UCY2jUnU118sVkdj2xafiJ0g,suitable,600,FALSE,4850000,2621732469,582,31,1,TRUE,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,4,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2016-02-23T13:37:28Z,"[{'classification_label': 'suitable', 'channelId': 'UCY2jUnU118sVkdj2xafiJ0g', 'id': 'Ig92-ecKvj0', 'publishedAt': '2018-06-02T11:00:03.000Z', 'madeForKids': True}]","By day 6 year olds Connor, Amaya and Greg go to school like everyone else. But when something goes awry in the city, these special kids, filled with curiosity and a sense of justice get ready for their mission – but they have to wait until night fall when the city is asleep and they can go un detected. Instead of going to bed like all the other children, when our heroes get their pyjamas on, they magically transform into super heroes and become the PJ Masks. Here come Catboy – super fast and agile, Gekko – super strong and can scale walls and Owlette – with the ability to fly and see great distances. Together these three can tackle any situation – PJ Masks they’re on their way into the night to save the day!","['pj masks full episodes', 'pj masks', 'pj mask', 'tj maxx', 'pj max', 'pj', 'pj masks episode 1', 'djmax', 'dj max', 'pj masks full episodes 1', 'pj max full episodes', ""pj's mask"", 'dj mask', 'pjmax', 'p j masks full episodes', 'p j masks', 'tj mask', 'pj m', 'the pj masks', 'pjmasks', 'pjmask', 'pj masks episodes', 'pj mask full episodes', 'pj masks episode 38', 'pj masks sticky splat slingshot', 'sticky splat slingshot', 'cartoon', 'cartoon for kids', 'cartoons for children', 'pj masks cartoon', 'pj masks disney']",['Music'],US
UC4Pg4VMErK0WQJZI_suR7jA,suitable,52,FALSE,4210000,350551,721,3,4,TRUE,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,3,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2013-06-06T23:05:15Z,"[{'classification_label': 'suitable', 'channelId': 'UC4Pg4VMErK0WQJZI_suR7jA', 'id': '4UOkigOQXuA', 'publishedAt': '2014-03-28T19:03:54.000Z', 'madeForKids': 'uknown'}]","¡Bienvenido a KidsFlix Entertainment, un canal de YouTube donde sus hijos encontrarán todo lo que les gusta!
Propiedad del famoso estudio francés de animación Amuse Networks, KidsFlix lanza nuevos episodios de dibujos animados todos los días de muchas series diferentes como: Animacars, Car Patrol, MonsterTown, Carl the Super Truck y muchos más, ¡para que sus hijos encuentren algo que les encanta!
Estas caricaturas promueven mensajes positivos y valores morales para sus pequeños. ¡Estos episodios no solo son entretenidos y divertidos, sino también educativos!

¡Aprende números, ABC, formas, colores y muchos más!
¡Deje que sus hijos desarrollen su interés por camiones, automóviles, animales, tiburones, etc. con las mejores caricaturas educativas!
https://www.youtube.com/channel/UC4Pg4VMErK0WQJZI_suR7jA/?sub_confirmation=1","['Peppa Pig', 'Peppa', 'peppa pig en español']","['Film', 'Lifestyle_(sociology)', 'Television_program', 'Entertainment']",MX
UCkcudKg1F03R8hemF2Ojimg,suitable,134,FALSE,1410,350572,239,9,4,,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,2,0,3,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2013-12-26T02:03:10Z,"[{'classification_label': 'suitable', 'channelId': 'UCkcudKg1F03R8hemF2Ojimg', 'id': 'F0VtknvZrQc', 'publishedAt': '2015-08-16T23:42:41.000Z', 'madeForKids': 'uknown'}]","Assass1n Productions (or AP for short) consists of members Riley, Karissa, and Ian with the occasional Jesse and Stephen. Starting off as a Let's Play channel, we got noticed from our fan films and unboxings. We play games, make shorts, and a whole bunch of other things. Enjoy your stay.","['assass1n', 'gamers', 'assass1ngamers', 'assass1ngaming', 'assass1nproductions', 'Assass1n', 'productions', 'action', 'inc.']","['Action-adventure_game', 'Role-playing_video_game', 'Action_game', 'Video_game_culture']",US
UCW5_WauTkyJj3hsEVIIg8dQ,suitable,358,FALSE,8320,7059402,,1,3,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2014-08-12T23:05:29Z,"[{'classification_label': 'suitable', 'channelId': 'UCW5_WauTkyJj3hsEVIIg8dQ', 'id': 'nNb8l-VKqQ8', 'publishedAt': '2017-05-22T17:51:53.000Z', 'madeForKids': False}]",,['Frozen'],"['Music', 'Pop_music', 'Soul_music']",BR
UC44eGZ76AJLHAxPaJ_MW2RA,suitable,3075,FALSE,3540000,5671051208,757,14,3,,0,3,1,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,4,0,3,-2,2,-1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2012-01-30T05:37:04Z,"[{'classification_label': 'suitable', 'channelId': 'UC44eGZ76AJLHAxPaJ_MW2RA', 'id': '6xyuXkyWV4o', 'publishedAt': '2015-11-22T12:00:00.000Z', 'madeForKids': True}, {'classification_label': 'suitable', 'channelId': 'UC44eGZ76AJLHAxPaJ_MW2RA', 'id': '76tIkL6TuMo', 'publishedAt': '2014-10-26T08:00:05.000Z', 'madeForKids': True}, {'classification_label': 'suitable', 'channelId': 'UC44eGZ76AJLHAxPaJ_MW2RA', 'id': '7Pv7afI9ojk', 'publishedAt': '2017-07-28T05:00:00.000Z', 'madeForKids': True}]","TheEngineeringFamily is designed by a husband and wife duo...Mr. Engineer is an experienced engineer who loves exploring new things. Mrs. Engineer is an award-winning teacher with a focus on math and counseling. Finally, we have our Assistant who loves to make videos and create fun stories that make children laugh.

We focus on three things 

Educational Fun - As parents we try to infuse elements of learning into everything that we do.

The Coolest Toys - Not necessarily the most popular but the toys that we like the best

Fun Stories and surprises - We create original stories using some of your favorite characters to help inspire imaginative play.

 You can rest assured that we take the ""Family"" in ""TheEngineeringFamily"" very seriously. Our channel focuses on fun, safe, and educational play while avoiding anything that hints of innuendo or borderline content. 


Your Friends,
TheEngineeringFamily","['Family Fun', 'Family Fun for Everyone', 'Outdoor Play', 'Family time', 'Games', 'Family Game Night', 'Scavenger Hunt', 'The Assistant', 'Wiggles', 'Playing at the park', 'Science Experiments', 'Exploring science', 'family video', 'family vlog']","['Entertainment', 'Hobby', 'Lifestyle_(sociology)']",US
UCNDVFsOY1HMSXDhcxuEfGoA,suitable,70,FALSE,93800,53210673,773,17,2,,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,5,0,3,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2009-06-15T14:44:06Z,"[{'classification_label': 'suitable', 'channelId': 'UCNDVFsOY1HMSXDhcxuEfGoA', 'id': '6wu0XcXkAuI', 'publishedAt': '2016-05-07T23:18:38.000Z', 'madeForKids': True}]","Professional Mermaid Linden Wolbert is a real mermaid whose passion is educating children about the wonders of our oceans, swimming safety and ocean conservation! She loves science and natural history...she's a real geek ;) Linden has teamed up with Body Glove International, designing her own line of kid's mermaid-inspired swim products, available on her website! She has performed and traveled all over the world for over a decade ""merforming"" for fundraisers, events, wishes for kids and underwater filming. Known as ""the Mermaid to the Stars"", she is hired by Hollywood's finest to entertain and spread magic through her work! Buzzfeed named her ""the World's Best Professional Mermaid.""  Check out her web series, MERMAID MINUTE, right here exclusively on YouTube! Sea more at http://www.mermaidsinmotion.com

""Sub""scribe and become a Sea Fan to sea Linden's latest underwater adventures, wishes and videos!","['mermaid', 'mermaids in motion', 'wish', 'underwater', 'mermaids', 'body glove', 'mermaid minute', 'mermaid party', 'mermaid los angeles', 'birthday entertainer', 'corporate entertainment', 'ocean education', 'professional mermaid', 'party services', 'birthday party services', 'birthday party entertainment', 'pool party entertainment']","['Entertainment', 'Lifestyle_(sociology)']",US
