id,category,videoCount,hiddenSubscriberCount,subscriberCount,viewCount,description,descriptionCharCount,keywords,keywordsCount,topicCategories,topicCount,country,madeForKids,publishedAt,videoIds,disturbingCount,suitableCount,suitableRatio,madeForKidsRatio,madeForKidsVideosCount,madeForKidsDisturbing,instagram,twitter,facebook,spotify,twitch,patreon,vk,plus.google,play.google,steam,myspace,merchandise,kids,animation,funny,toys,cartoon,fun,children,cartoons,comedy,nursery rhymes,Entertainment,Film,Lifestyle_(sociology),Music,Hobby,Video_game_culture,Action-adventure_game,Television_program,Action_game,Role-playing_video_game
UCPDlh3WjaEF6VB3sjDk76qg,disturbing,98,FALSE,29400,2569646,"ola, este es mi kanal secundario. aki subo vídeo cada dos x tres, sobre cualkier cosa k se me ocurra. bienvenido a mi puto barrio",105,"['yisucrist', 'yisus', 'jesucristo', 'dibujos animados', 'cartoon', 'comedia']",6,"['Entertainment', 'Video_game_culture', 'Music', 'Film']",4,ES,FALSE,2013-10-09T16:48:23Z,"[{'classification_label': 'disturbing', 'channelId': 'UCPDlh3WjaEF6VB3sjDk76qg', 'id': 'mZurp3-_vIg', 'publishedAt': '2016-02-15T22:05:42.000Z', 'madeForKids': False}]",1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
UCEt4vnW3zxpfI8CfHmO_1yA,disturbing,158,FALSE,317,38113,Добро пожаловать на мой канал...,28,N/A,N/A,"['Entertainment', 'Video_game_culture', 'Film']",3,N/A,N/A,2017-04-09T14:50:05Z,"[{'classification_label': 'disturbing', 'channelId': 'UCEt4vnW3zxpfI8CfHmO_1yA', 'id': 'AE9-VeKS57Y', 'publishedAt': '2017-10-15T14:53:19.000Z', 'madeForKids': False}]",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
UC1Ej1HysXFszU2d1rMhzk1w,disturbing,64,FALSE,463,5949269,"Each of you, for himself, by himself and on his own responsibility, must speak. And it is a solemn and weighty responsibility, and not lightly to be flung aside at the bullying of pulpit, press, government, or the empty catchphrases of politicians. Each must for himself alone decide what is right and what is wrong, and which course is patriotic and which isn't. You cannot shirk this and be a man. To decide against your convictions is to be an unqualified and inexcusable traitor, both to yourself and to your country, let man label you as they may. If you alone of all the nation shall decide one way, and that way be the right way according to your convictions of the right, you have done your duty by yourself and by your country- hold up your head! You have nothing to be ashamed of",645,N/A,N/A,"['Entertainment', 'Society']",2,N/A,N/A,2006-05-17T14:36:02Z,"[{'classification_label': 'disturbing', 'channelId': 'UC1Ej1HysXFszU2d1rMhzk1w', 'id': 'KI8jKZ9HH3U', 'publishedAt': '2007-05-13T19:30:31.000Z', 'madeForKids': False}]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UCSLIJTwAKRhlSlIvhbpHPuQ,disturbing,149,FALSE,2800000,1744799470,"Checkout our awesome Kids Songs, Nursery Rhymes, Stories, and more! Always kid-friendly. From our family to yours!
Some of the songs are Johny Johny Yes Papa, Old MacDonald Had a Farm, Twinkle Twinkle Little Star, The Wheels on the Bus ...",199,N/A,N/A,['Music'],1,N/A,TRUE,2008-10-16T04:00:11Z,"[{'classification_label': 'disturbing', 'channelId': 'UCSLIJTwAKRhlSlIvhbpHPuQ', 'id': 'H-lizN8SWVE', 'publishedAt': '2017-10-13T21:37:16.000Z', 'madeForKids': True}]",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UCKqH_9mk1waLgBiL2vT5b9g,disturbing,1333,FALSE,25500000,13640963132,Official Vanoss Gaming YouTube Channel.,35,"['Vanoss', 'Funny', 'Moments', 'Fun', 'GTA', 'Gaming', 'Gmod', ""Garry's"", 'Mod', 'Video', 'Games', 'fortnite', 'fort', 'nite']",14,"['Strategy_video_game', 'Role-playing_video_game', 'Casual_game', 'Action_game', 'Action-adventure_game', 'Video_game_culture']",6,N/A,FALSE,2011-09-15T07:05:29Z,"[{'classification_label': 'disturbing', 'channelId': 'UCKqH_9mk1waLgBiL2vT5b9g', 'id': 'S9OgK8McRFw', 'publishedAt': '2016-02-10T23:11:20.000Z', 'madeForKids': False}, {'classification_label': 'disturbing', 'channelId': 'UCKqH_9mk1waLgBiL2vT5b9g', 'id': 'HSBNaGSHgSA', 'publishedAt': '2016-06-14T00:42:08.000Z', 'madeForKids': False}, {'classification_label': 'restricted', 'channelId': 'UCKqH_9mk1waLgBiL2vT5b9g', 'id': 'LKOeaFSNQpM', 'publishedAt': '2014-08-17T04:03:56.000Z', 'madeForKids': False}]",2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
UC9Hes1NEFW4idc1zbUM7xnQ,disturbing,2541,FALSE,1070000,506160197,"The craziest and funniest Minecraft role-playing adventures with daily Minecraft videos, NitroLukeDX

#Minecraft

#Minecraft Roleplay

#MinecraftChallenges

#MinecraftAdventures

#MinecraftRealistic 

#MinecraftSteveAndAlex

► Free Online Games

► Custom Minecraft Modded Survival

#MinecraftRolePlayingAdventures 

BUSINESS: NitroLukeDX@gmail.com",305,"['nitrolukedx', 'minecraft', 'fortnite', 'roblox', 'realistic minecraft']",5,"['Action-adventure_game', 'Role-playing_video_game', 'Video_game_culture']",3,GB,FALSE,2007-05-24T09:59:17Z,"[{'classification_label': 'disturbing', 'channelId': 'UC9Hes1NEFW4idc1zbUM7xnQ', 'id': '1ze_x66e4Ko', 'publishedAt': '2017-11-22T03:22:00.000Z', 'madeForKids': False}]",1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
UC6hxJ5YIi0e7tvh-gsKaCdQ,disturbing,101,FALSE,2320,1398851,"Multifandom editor. 
You can call me Ame. 
• Star Wars • Avatar • Harry Potter • Game of Thrones • The End of the Fucking World • Disney (Frozen) • Marvel • Reylo • Helsa • Scorbus •",143,N/A,N/A,"['Music', 'Pop_music']",2,N/A,N/A,2013-03-10T02:49:22Z,"[{'classification_label': 'disturbing', 'channelId': 'UC6hxJ5YIi0e7tvh-gsKaCdQ', 'id': 'sS3iBwR3KPA', 'publishedAt': '2014-06-16T11:53:26.000Z', 'madeForKids': False}]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UCA8qiM3rL21iWPD2LhbSZHw,disturbing,9,FALSE,3,2439,"Beauty, Friendship, Fashion, and Makeup all ran by two bestfriends!",58,N/A,N/A,"['Lifestyle_(sociology)', 'Entertainment', 'Video_game_culture']",3,N/A,N/A,2017-01-21T05:39:51Z,"[{'classification_label': 'disturbing', 'channelId': 'UCA8qiM3rL21iWPD2LhbSZHw', 'id': 'OZoC4RFOMSk', 'publishedAt': '2017-01-22T05:45:16.000Z', 'madeForKids': False}]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
UC9sbzqlvD9eAkj-tlFDDITg,disturbing,2,TRUE,N/A,55,"❤ Welcome to Frozen Elsa Spiderman Superhero Family
Subscribe us at ► https://goo.gl/Tsxjkw

This Superhero IRL channel have more Prank Disney Princess and Superhero in real life with more Marvel Superheroes: Spider-man, Spiderman, Frozen Elsa, Pink Spidergirl, Frozen Anna, Superman, Hulk, Snow White, Spidey, Batman, Joker, Maleficent, Venom, Harley quinn, Iron man, Deadpool, Thor, Captain america, Supergirl, Superwoman

Hope you kids, children, baby have more fun with spiderman videos, spiderman prank, frozen elsa prank, joker prank, superhero prank videos

Thanks for watching !",501,"['frozen', 'elsa', 'spiderman', 'spider-man', 'spider man', 'spidey', 'frozen elsa', 'anna', 'snow white', 'batman', 'superman', 'hulk', 'maleficent', 'joker', 'harley quinn', 'venom', 'thor', 'captain america', 'iron man', 'deadpool', 'superwoman', 'supergirl', 'catwoman', 'superhero', 'superheroes', 'spiderman videos', 'superheroes in real life', 'superhero in real life', 'Superhero', 'in real life', 'kids', 'children', 'baby', 'funny', 'fun', 'comedy', 'prank', 'troll', 'joke', 'comic', 'spiderman prank', 'elsa prank', 'frozen prank', 'anna prank', 'superhero prank']",45,"['Vehicle', 'Hobby', 'Lifestyle_(sociology)']",3,US,N/A,2016-11-02T03:32:35Z,"[{'classification_label': 'disturbing', 'channelId': 'UC9sbzqlvD9eAkj-tlFDDITg', 'id': 'HUKVr_vQeT8', 'publishedAt': '2016-11-22T14:45:45.000Z', 'madeForKids': 'uknown'}]",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0
UCc7r84eB_n8f3Ke4GrYua1g,disturbing,435,FALSE,2040000,373747158,"My name is Derek Gerard and I make comedy videos on YouTube for the d-squad! 

Thank you so much for checking out my channel!
Love you! tehe

For the d-squad:  DerekGerard@gmail.com
Business and Brand Inquiries: derekgerard@ellifyagency.com",201,"['derek', 'derek gerard', 'challenge', '24 hour challenge', 'must say yesimpossible challenge youtuber challenge', '24 hours', 'food', 'food challenge', 'letting the person in front of me', '24 hr', 'i only ate challenge', 'tik tok', 'tik tok challenge', 'viral tik tok', 'instagram challenge', '#foryou', 'impossible food challenge', 'fast food', 'buying', 'fast food challenge', 'only eating', 'eye tracker', 'eye tracker challenge', 'amazon', 'wish', 'wish.com']",26,"['Lifestyle_(sociology)', 'Food', 'Entertainment']",3,CA,FALSE,2010-09-15T02:00:27Z,"[{'classification_label': 'disturbing', 'channelId': 'UCc7r84eB_n8f3Ke4GrYua1g', 'id': '525lyIpQyUw', 'publishedAt': '2017-11-06T23:00:02.000Z', 'madeForKids': 'uknown'}, {'classification_label': 'irrelevant', 'channelId': 'UCc7r84eB_n8f3Ke4GrYua1g', 'id': 'p1dWqbYu4Ak', 'publishedAt': '2016-04-23T20:00:01.000Z', 'madeForKids': False}, {'classification_label': 'irrelevant', 'channelId': 'UCc7r84eB_n8f3Ke4GrYua1g', 'id': 'S6TJ0heT79c', 'publishedAt': '2018-07-10T22:00:00.000Z', 'madeForKids': False}, {'classification_label': 'irrelevant', 'channelId': 'UCc7r84eB_n8f3Ke4GrYua1g', 'id': 'cA-748p6i7A', 'publishedAt': '2016-03-27T20:00:00.000Z', 'madeForKids': False}]",1,0,0,0.25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
