id,instagram,twitter,facebook,spotify,twitch,patreon,vk,plus.google,play.google,steam,myspace,merchandise
UCPDlh3WjaEF6VB3sjDk76qg,1,1,1,0,1,0,0,0,0,0,0,0
UCEt4vnW3zxpfI8CfHmO_1yA,0,0,0,0,0,0,1,0,0,0,0,0
UC1Ej1HysXFszU2d1rMhzk1w,0,0,0,0,0,0,0,0,0,0,0,0
UCSLIJTwAKRhlSlIvhbpHPuQ,0,0,0,0,0,0,0,0,0,0,0,0
UCKqH_9mk1waLgBiL2vT5b9g,1,1,1,0,0,0,0,0,0,0,0,1
UC9Hes1NEFW4idc1zbUM7xnQ,1,1,1,0,0,0,0,0,0,0,0,0
UC6hxJ5YIi0e7tvh-gsKaCdQ,0,0,0,0,0,0,0,0,0,0,0,0
UCA8qiM3rL21iWPD2LhbSZHw,0,0,0,0,0,0,0,0,0,0,0,0
UC9sbzqlvD9eAkj-tlFDDITg,0,0,0,0,0,0,0,0,0,0,0,0
UCc7r84eB_n8f3Ke4GrYua1g,1,1,0,0,0,0,0,0,0,0,0,0
UCoUddkWzlmw1cExDMphmFkg,1,1,0,0,1,0,0,0,0,0,0,1
UCrS-5vch6RBMR91PIY7lDGQ,0,0,0,0,0,0,0,0,0,0,0,0
UCmk-oIJGnIoq0I7Y-EPaIfg,0,0,1,0,0,0,0,0,0,0,0,0
UCmxue_fYStkGRzDtUg-Ccvg,0,0,0,0,0,0,0,0,0,0,0,0
UCLT1IUNC059GjzETTferwig,0,0,0,0,0,0,0,0,0,0,0,0
UCLHVgDFeEUIDGJ2RLovOaBQ,0,0,0,0,0,0,0,0,0,0,0,0
UCeC-6MhIyKxI71kor8M3fXw,1,1,1,0,0,0,0,0,0,0,0,0
UC5BkHUYfYkywZ5wRD1b9fVg,0,0,0,0,0,0,0,0,0,0,0,0
UCXa0bh_GSTJ82lkJip37iQg,0,0,0,0,0,0,0,0,0,0,0,0
UCE03Bd07snXvxdeiWqdlEQQ,0,0,0,0,0,0,0,0,0,0,0,0
UCuEJEsH8iYGj4SA6xoEtHVQ,0,0,0,0,0,0,0,0,0,0,0,0
UC-ikVvfoDcZuqOjTqFDpVqw,1,0,0,0,0,0,0,0,0,0,0,0
UC3m_wXRBYTAO7OzdEmlUuKA,0,0,0,0,0,0,0,0,0,0,0,0
UCSYiFp6kT3EXapeXKmyV2gw,0,0,0,0,0,0,0,0,0,0,0,0
UCQJQR-pkLByaGK1UPaAQDQQ,1,1,0,0,0,0,0,0,0,0,0,0
UCt7DNeJlu-OxhTY6Dwj2syg,1,0,0,0,0,0,0,0,0,0,0,0
UCxVvKbJveH8CK9ykW5d60nQ,0,0,0,0,0,0,0,0,0,0,0,0
UCR-TZXPuWmsUUxVxzvj4OkA,0,1,1,0,0,0,0,1,0,0,0,0
