id,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surpise,Trust
UC_Q51pfEm5-L7Q7N-i1W3wg,0,1,0,0,1,0,0,0
UCAqHpEnYCNEbBSOtSKI6D1A,0,0,0,0,1,0,0,1
UCIiKn4Qet8YBnSgyh36KAeg,0,0,0,0,0,0,0,0
UCCaabPFpqlTog1a9NcGNg0g,0,0,0,0,0,0,0,0
UCY2jUnU118sVkdj2xafiJ0g,0,1,0,0,1,0,0,0
UC4Pg4VMErK0WQJZI_suR7jA,0,0,0,0,1,0,0,0
UCkcudKg1F03R8hemF2Ojimg,0,0,0,0,1,0,1,0
UCW5_WauTkyJj3hsEVIIg8dQ,0,0,0,0,0,0,0,0
UC44eGZ76AJLHAxPaJ_MW2RA,0,1,0,0,1,0,1,1
UCNDVFsOY1HMSXDhcxuEfGoA,0,1,0,0,1,0,0,1
UC7_yh9PEDpaqp34QtGO-_Yw,0,0,0,0,0,0,0,0
UCNzsYU0aWwjERj-9Y9HUEng,0,0,0,0,0,0,1,1
UCNXr2M9miMhQrHZDLwVLONg,0,0,0,0,0,0,0,0
UCgwv23FVv3lqh567yagXfNg,0,1,0,0,1,0,0,1
UCkZ_KGjLKvfvs30tJDFVwUA,0,0,0,0,0,0,0,0
UC9sY9S-ddN-1E0jD2fFWLig,0,0,0,0,0,0,0,0
UCWr4vlkj5xXQ4bSXNeTT2AA,0,0,0,0,1,0,1,1
UC3FBdA2krgGmdGdqxqDjElA,0,1,0,0,1,0,0,0
UCenMWMQOjul4ufo49xkvTYg,0,0,0,0,1,0,0,0
UC977n5nXRn8MDuGQjwxkOLw,0,0,0,0,1,0,1,0
UC-4G49konaVc4Zyw9SNGc4w,0,0,0,0,0,0,0,0
UCTkL2hI0A-Zfid4O9RvXVtw,0,0,0,0,0,0,0,1
UCXodGGoCUuMgLFoTf42OgIw,0,0,0,0,1,0,0,1
UCS_BQjyp0_62lO09p5ZfYLg,0,0,0,0,1,0,1,1
UCxeOZigj9hGZH-5av0uaJGQ,0,1,0,0,1,0,0,1
UCOk55dAgB8VnMlhaTEMeX5A,0,0,0,0,1,0,1,0
UCqdGW_m8Rim4FeMM29keDEg,0,1,0,0,1,0,1,1
UCFOnJByYT1poZhxoUHaBGQg,0,0,0,0,1,0,0,0
UCLhO_QqMBdKOrV_nf8UwzlA,1,0,1,0,1,1,0,1
UCdE4s5fAVkAQTfjG_qC4uTA,0,1,0,0,1,0,0,0
UCBKT825iA5p09fAZ-9wd1vQ,0,0,1,0,1,0,0,0
UCzIdYMdAtTsWucGCZyZvN6w,0,0,0,0,1,0,0,1
UCB5G0kdBHEn8uDT3pfDUkkQ,0,0,0,0,1,0,0,1
UCeGjlsryBLOQNlMhE5MSioQ,0,0,0,0,0,0,0,1
UC-AxiwZdOVazFqggF1F2aLg,0,1,0,0,1,0,0,0
UCwKyfVn8hnsz2SNEmPueoPw,0,0,0,0,0,0,0,0
UCEjNucEVq5vRH2IGNeTqx3Q,0,1,0,0,0,0,0,0
UCP2KufrODfbKTULzHJ8uI_g,0,1,0,0,0,0,0,0
UCTVzy8sOUFi-a5NBhuPv7tQ,0,0,0,0,1,0,0,1
UC21LBTN66AkhehxaYr8Vowg,0,0,0,0,0,0,0,0
UCfPSzsqQWfR2IW8A5vMa42A,0,1,0,0,1,0,1,1
UC5QDH1Gj1DBsgNnnYexAErQ,0,1,0,0,1,0,0,1
UCzPMUOQiUoq9GnhHgcLZEqQ,0,0,0,0,0,0,0,0
UCu4mAgni85Q6uIGIAJ1-Feg,0,0,0,0,0,0,0,0
UCiBvuoKHWkW62kM0H5OakRA,0,0,0,0,1,0,0,1
UCxj3yv6V6VXqFV2qrIQlOPw,0,0,0,0,1,0,0,1
UC7D-mXO4kk-XWvH6lBXdrPw,0,1,0,1,1,0,0,1
UCs0upBDG-dCAxy8_VDPE5XA,0,1,0,0,1,0,0,0
UCKE6prY-lztVSD4YZt2Co4w,1,1,0,0,1,0,0,0
UCCkR0LFfQuOIgSQ6KiDbvmQ,0,0,0,0,0,0,0,0
UCvJYAAZlfnNHnhKD_cxLhcw,1,1,0,0,0,0,0,0
UCUAL--p3qAa27luR0IYbjZA,0,1,0,0,1,0,1,1
UCFkW3zyiniJ9Dn8nLR8_v3w,0,0,0,0,1,0,0,1
UC1W4T2HfKVCJM4ICOjzxoBg,0,0,0,0,1,0,0,1
UCOLSVS2agpnBNZlYEE2mLkQ,0,0,0,0,1,0,0,1
UCWda0RFPFeV2TO54PNxTMmA,0,0,0,0,1,0,0,0
UCf9xTqXTItfs5R0JZqlomjA,0,1,0,0,1,0,1,1
UC9tRWxIEybKyUNXSsllpqBg,0,0,0,0,0,0,0,0
UCK5Q72Uyo73uRPk8PmM2A3w,0,0,0,0,0,0,0,1
UCpekra_v5x9oNXRRHtj_HNQ,0,1,0,1,1,0,1,0
UCGnCcs-xBdUyUM9AMuYNcuw,0,0,0,0,0,0,0,0
UCPVN2sbn6lG5Bwjm60ZA2gg,0,0,0,0,0,0,0,0
UCDvEoBM4lmljDRzKJrox1hg,0,0,0,0,0,0,0,0
UCB89VdFsWxBsUBy2O2lB5og,0,1,0,0,1,0,1,0
UC2ciSIq8V-HdaZkfHcEBPYQ,0,1,0,0,1,0,0,1
UC6zhI71atP7YLoZyIyCIGNw,0,0,0,0,1,0,0,1
UC6zPzUJo8hu-5TzUk8IEC2Q,0,1,0,0,1,0,0,1
UCBN7qVKYrsQelWnyt7J28Ug,0,0,0,0,1,0,0,0
UCf-gQkGR25Pt5_pFV38sR5Q,0,0,0,0,1,0,0,0
UCHkImkyGmhSxGbHKJvav5Ig,0,0,0,0,0,0,0,0
UCXKhxWbzx_uP_Ubad18xbDw,1,0,0,0,1,0,0,1
UCWjVfZ3VnyUwBEOkuOlaU3g,1,0,0,0,1,0,1,1
UCTYU_EGMogQmg0jk2sRfXbw,0,1,0,0,1,0,1,0
UCPyvb2tkhoTljRcVrf-qpUw,0,0,1,1,1,0,1,0
UCK9F8nycURBsR0YlrBsu1Ag,0,1,0,0,1,0,0,1
UCfaZw8XH_zmAVkBst_MPD6w,0,0,0,0,1,0,1,1
UCzSPxPb3u5Xf5LWtZJFmU0w,0,0,0,0,0,0,0,0
UC1K0Di0l79nMOxVCU7oHW-Q,0,1,0,0,1,0,0,1
UCS94J1s6-qc8v7btCdS2pNg,0,0,0,0,0,0,0,0
UC1f30HQiOR7NzmE8PYPQhZw,0,0,0,0,0,0,0,1
UCfJf8DrUe-IsxpWo1ssJw5w,0,1,0,0,1,0,0,1
UCUe6ZpY6TJ0no8jI4l2iLxw,0,0,0,0,1,0,0,1
UC08d1QqBdQFwcJo9BbA-Gug,0,0,0,0,0,0,0,0
UC58otONbfRjWcYjlJvHaYfw,1,0,0,0,0,0,0,0
UCjmAh2qxmvWdH3xNPbg0IUQ,0,0,0,0,1,0,0,1
UC4k7WVOJHZ_ihx9ta2eu7mQ,0,0,0,0,0,0,0,0
UC4ODgZPSmUVgpbjT_CVNBpA,0,0,0,0,1,0,0,1
UCsRW8ikkc-uISUXtNKBfFcw,0,0,0,0,1,0,0,0
UC-5E0ZHSkN6hExW4rDCY4vw,0,0,0,0,1,0,1,0
UCsp0Ze3E3PSpFkwj7ia6aPw,1,0,0,0,1,0,0,1
UCcr3VURKPVL_D1Ag5nmFOFw,0,0,0,0,0,0,0,0
UCUI8XDywSfFSYBLqNS79QKQ,0,0,0,0,0,0,0,1
UCKAqou7V9FAWXpZd9xtOg3Q,0,0,0,0,1,0,1,1
UCyL_DfK9qanz7TWeIaJCKOQ,0,1,0,0,1,0,0,1
UChz5aEi3dfrDVC8-YJsMUDA,0,0,0,0,0,0,0,0
UCeVvKlU2X_-deXXwibuoOfw,1,0,0,0,0,0,0,0
UCCqAU0_8JgGxZs_Hslyzn-Q,0,0,0,0,0,0,0,0
UC9rGkf9kmCDi4kAmbd1Csyw,0,0,0,0,1,0,1,1
UCkDGE4U7Ca52Eo1y_01WXnA,0,0,0,0,0,0,0,0
UCelMeixAOTs2OQAAi9wU8-g,0,1,0,0,1,0,0,1
