id,instagram,twitter,facebook,spotify,twitch,patreon,vk,plus.google,play.google,steam,myspace,merchandise
UC_Q51pfEm5-L7Q7N-i1W3wg,1,0,0,0,0,0,0,0,0,0,0,0
UCAqHpEnYCNEbBSOtSKI6D1A,0,0,0,0,0,0,0,0,0,0,0,0
UCIiKn4Qet8YBnSgyh36KAeg,0,0,0,0,0,0,0,0,0,0,0,0
UCCaabPFpqlTog1a9NcGNg0g,0,0,0,0,0,0,0,0,0,0,0,0
UCY2jUnU118sVkdj2xafiJ0g,0,1,1,0,0,0,0,0,0,0,0,0
UC4Pg4VMErK0WQJZI_suR7jA,0,0,0,0,0,0,0,0,0,0,0,0
UCkcudKg1F03R8hemF2Ojimg,1,0,1,0,0,0,0,0,0,0,0,0
UCW5_WauTkyJj3hsEVIIg8dQ,0,0,0,0,0,0,0,0,0,0,0,0
UC44eGZ76AJLHAxPaJ_MW2RA,1,1,1,0,0,0,0,0,0,0,0,0
UCNDVFsOY1HMSXDhcxuEfGoA,1,1,1,0,0,0,0,0,0,0,0,0
UC7_yh9PEDpaqp34QtGO-_Yw,1,0,0,0,0,0,0,0,0,0,0,1
UCNzsYU0aWwjERj-9Y9HUEng,1,1,1,0,0,0,0,0,0,0,0,0
UCNXr2M9miMhQrHZDLwVLONg,0,0,0,0,0,0,0,0,0,0,0,0
UCgwv23FVv3lqh567yagXfNg,1,1,1,0,0,0,0,0,0,0,0,0
UCkZ_KGjLKvfvs30tJDFVwUA,0,0,0,0,0,0,0,0,0,0,0,0
UC9sY9S-ddN-1E0jD2fFWLig,1,1,0,1,0,0,0,0,1,0,0,0
UCWr4vlkj5xXQ4bSXNeTT2AA,0,0,0,0,0,0,0,0,0,0,0,0
UC3FBdA2krgGmdGdqxqDjElA,1,0,1,0,0,0,0,0,0,0,0,1
UC-4G49konaVc4Zyw9SNGc4w,0,0,0,0,0,0,0,0,0,0,0,0
UCXodGGoCUuMgLFoTf42OgIw,1,0,0,0,0,0,0,0,0,0,0,0
UCS_BQjyp0_62lO09p5ZfYLg,0,0,1,0,0,0,0,1,0,0,0,0
UCxeOZigj9hGZH-5av0uaJGQ,0,0,0,0,0,0,0,0,0,0,0,0
UCOk55dAgB8VnMlhaTEMeX5A,0,1,1,0,0,0,0,1,0,0,0,0
UCqdGW_m8Rim4FeMM29keDEg,0,0,0,0,0,0,0,0,0,0,0,0
UCFOnJByYT1poZhxoUHaBGQg,0,0,0,0,0,0,0,0,0,0,0,0
UCLhO_QqMBdKOrV_nf8UwzlA,1,1,1,0,0,0,0,0,0,0,0,0
UCdE4s5fAVkAQTfjG_qC4uTA,1,0,0,0,0,0,0,0,0,0,0,0
UCBKT825iA5p09fAZ-9wd1vQ,0,0,0,0,0,0,0,0,0,0,0,0
UCzIdYMdAtTsWucGCZyZvN6w,1,0,1,0,0,0,0,0,0,0,0,0
UCB5G0kdBHEn8uDT3pfDUkkQ,0,0,0,0,0,0,0,0,0,0,0,0
UCeGjlsryBLOQNlMhE5MSioQ,0,0,0,0,0,0,0,0,0,0,0,0
UC-AxiwZdOVazFqggF1F2aLg,1,1,1,0,0,0,0,0,1,0,0,0
UCwKyfVn8hnsz2SNEmPueoPw,1,1,1,0,0,0,0,0,0,0,0,0
UCP2KufrODfbKTULzHJ8uI_g,1,1,1,0,0,0,0,0,0,0,0,0
UCTVzy8sOUFi-a5NBhuPv7tQ,0,0,0,0,0,0,0,0,0,0,0,0
UC21LBTN66AkhehxaYr8Vowg,1,0,0,0,0,0,0,0,0,0,0,0
UCfPSzsqQWfR2IW8A5vMa42A,0,0,1,0,0,0,0,0,0,0,0,0
UC5QDH1Gj1DBsgNnnYexAErQ,0,0,0,0,0,0,0,0,0,0,0,0
UCzPMUOQiUoq9GnhHgcLZEqQ,0,0,0,0,0,0,0,0,0,0,0,0
UCu4mAgni85Q6uIGIAJ1-Feg,0,0,0,0,0,0,0,0,0,0,0,0
UCiBvuoKHWkW62kM0H5OakRA,0,0,0,0,0,0,0,0,0,0,0,0
UCxj3yv6V6VXqFV2qrIQlOPw,0,0,0,0,0,0,0,0,0,0,0,0
UCs0upBDG-dCAxy8_VDPE5XA,0,0,1,0,0,0,0,0,1,0,0,0
UCKE6prY-lztVSD4YZt2Co4w,0,0,0,0,0,0,0,0,0,0,0,0
UCCkR0LFfQuOIgSQ6KiDbvmQ,0,0,0,0,0,0,0,0,0,0,0,0
UCvJYAAZlfnNHnhKD_cxLhcw,1,1,0,0,0,0,0,0,0,0,0,0
UCUAL--p3qAa27luR0IYbjZA,0,0,1,0,0,0,0,0,0,0,0,1
UCFkW3zyiniJ9Dn8nLR8_v3w,0,0,0,0,0,0,0,0,0,0,0,0
UC1W4T2HfKVCJM4ICOjzxoBg,1,0,0,0,0,0,0,0,0,0,0,0
UCOLSVS2agpnBNZlYEE2mLkQ,0,0,0,0,0,0,0,0,0,0,0,0
UCWda0RFPFeV2TO54PNxTMmA,1,0,1,0,0,0,0,0,0,0,0,0
UCf9xTqXTItfs5R0JZqlomjA,0,1,1,0,0,0,0,1,0,0,0,0
UC9tRWxIEybKyUNXSsllpqBg,0,0,0,0,0,0,0,0,0,0,0,0
UCK5Q72Uyo73uRPk8PmM2A3w,0,0,0,0,0,0,0,0,0,0,0,0
UCpekra_v5x9oNXRRHtj_HNQ,0,0,1,0,0,0,0,0,0,0,0,0
UCGnCcs-xBdUyUM9AMuYNcuw,0,0,0,0,0,0,0,0,0,0,0,0
UCPVN2sbn6lG5Bwjm60ZA2gg,0,0,0,0,0,0,0,0,0,0,0,0
UCDvEoBM4lmljDRzKJrox1hg,0,0,0,0,0,0,0,0,0,0,0,0
UCB89VdFsWxBsUBy2O2lB5og,0,0,0,0,0,0,0,0,0,0,0,0
UC2ciSIq8V-HdaZkfHcEBPYQ,0,1,1,0,0,0,0,0,0,0,0,0
UC6zhI71atP7YLoZyIyCIGNw,1,1,1,0,0,0,0,0,1,0,0,0
UC6zPzUJo8hu-5TzUk8IEC2Q,1,1,1,1,0,0,0,0,0,0,0,0
UCBN7qVKYrsQelWnyt7J28Ug,0,0,0,0,0,0,0,0,0,0,0,0
UCHkImkyGmhSxGbHKJvav5Ig,0,0,0,0,0,0,0,0,0,0,0,0
UCXKhxWbzx_uP_Ubad18xbDw,0,0,0,0,0,0,0,0,0,0,0,0
UCTYU_EGMogQmg0jk2sRfXbw,0,0,0,0,0,0,0,0,0,0,0,0
UCPyvb2tkhoTljRcVrf-qpUw,0,0,1,0,0,0,0,0,0,0,0,0
UCK9F8nycURBsR0YlrBsu1Ag,0,0,0,0,0,0,0,0,0,0,0,0
UCfaZw8XH_zmAVkBst_MPD6w,0,0,0,0,0,0,0,0,1,0,0,1
UCzSPxPb3u5Xf5LWtZJFmU0w,1,1,1,0,0,0,0,0,0,0,0,0
UC1K0Di0l79nMOxVCU7oHW-Q,1,0,0,0,0,0,0,0,0,0,0,0
UCS94J1s6-qc8v7btCdS2pNg,1,0,0,0,0,0,0,0,0,0,0,0
UC1f30HQiOR7NzmE8PYPQhZw,0,0,1,0,0,0,0,0,0,0,0,0
UCfJf8DrUe-IsxpWo1ssJw5w,0,0,1,0,0,0,0,0,0,0,0,0
UCUe6ZpY6TJ0no8jI4l2iLxw,0,0,1,0,0,0,0,0,1,0,0,0
UC08d1QqBdQFwcJo9BbA-Gug,0,0,0,0,0,0,0,0,0,0,0,0
UC58otONbfRjWcYjlJvHaYfw,1,0,0,1,0,0,0,0,0,0,0,0
UCjmAh2qxmvWdH3xNPbg0IUQ,1,0,0,0,0,0,0,0,0,0,0,0
UC4k7WVOJHZ_ihx9ta2eu7mQ,0,0,0,0,0,0,0,0,0,0,0,0
UC4ODgZPSmUVgpbjT_CVNBpA,0,0,0,0,0,0,0,0,0,0,0,0
UCsRW8ikkc-uISUXtNKBfFcw,1,1,1,0,0,0,0,0,0,0,0,0
UC-5E0ZHSkN6hExW4rDCY4vw,0,0,1,0,0,0,0,0,0,0,0,0
UCsp0Ze3E3PSpFkwj7ia6aPw,0,0,1,0,0,0,0,0,0,0,0,0
UCcr3VURKPVL_D1Ag5nmFOFw,0,0,0,0,0,0,1,0,0,0,0,0
UCUI8XDywSfFSYBLqNS79QKQ,0,0,0,0,0,0,0,0,0,0,0,0
UCKAqou7V9FAWXpZd9xtOg3Q,1,1,1,1,0,0,0,0,0,0,0,0
UCyL_DfK9qanz7TWeIaJCKOQ,1,0,0,0,0,0,0,0,0,0,0,0
UChz5aEi3dfrDVC8-YJsMUDA,0,1,1,0,0,0,0,0,0,0,0,0
UCeVvKlU2X_-deXXwibuoOfw,0,0,0,0,0,0,0,0,0,0,0,0
UCCqAU0_8JgGxZs_Hslyzn-Q,0,0,1,0,0,0,0,0,0,0,0,0
UC9rGkf9kmCDi4kAmbd1Csyw,1,0,0,0,0,0,0,0,0,0,0,0
UCkDGE4U7Ca52Eo1y_01WXnA,0,1,1,0,0,0,0,1,0,0,0,0
UCelMeixAOTs2OQAAi9wU8-g,1,1,0,0,0,0,0,0,0,0,0,1
UCTph5drG1otLxUd1Uf8wlWw,0,1,1,0,0,0,0,0,0,0,0,0
UCecCngpPbJJZkK_b2RvSb-Q,0,0,0,0,0,0,0,0,0,0,0,0
UCP3bceupheuBgoOAsBmVCoQ,0,0,0,0,0,0,0,0,0,0,0,0
UCAkOQ5XDjqqmw7ijhEmhAgw,0,0,0,0,0,0,0,0,0,0,0,0
UCvlgKYQD9vmw8eWsTra7hOg,0,0,0,0,0,0,0,0,0,0,0,0
UCRiFIIjaK51I8xnxAkiBwfw,0,0,0,0,0,0,0,0,0,0,0,0
UCifWNRrXHbRYdgYYiqE9OyQ,0,0,0,0,0,0,0,0,0,0,0,0
UCj5Bz88QrJuOF5FcaxZ-0sQ,0,0,0,0,0,0,0,0,0,0,0,0
UC3InsF0nskaGxzzAIUDYbeA,0,0,0,0,0,0,0,0,0,0,0,0
UCgxHQ2vnyeqLCeNFUaks-UQ,0,0,0,0,0,0,0,0,0,0,0,0
UCTMJsJymzODHhoDeX7Z8u_Q,0,0,0,0,0,0,0,0,0,0,0,0
UCDQRuEmhDZKVV3T6-F3qhtA,0,0,0,0,0,0,0,0,0,0,0,0
UCdPG86Ahrf9A8YzBnFDAaEg,0,0,0,0,0,0,0,0,0,0,0,0
UCL_DNWIN-USXGVXPfmQLy2Q,1,1,1,0,0,0,0,0,0,0,0,0
UChRZS2yZ2TDEO13e3g4zHTQ,1,1,1,0,0,0,0,0,0,0,0,0
UCIe7rn_yIz7MGPEw7-EgaGQ,0,0,0,0,0,0,0,0,0,0,0,0
UCXBdYsnY6r76KaLFAyAujPg,0,0,0,0,0,0,0,0,0,0,0,0
UCvkvmLBdHodQ-a-6LeYFP0Q,0,1,1,0,0,0,0,0,0,0,0,0
UCu9MYfF0vosVcK38oNnnJxw,1,1,1,0,0,0,0,1,1,0,0,0
UCiSRILqVmWbYfxgT3YNIRww,1,1,1,0,0,0,0,0,0,0,0,0
UCSOkAH44edMHK1vodvve1DQ,0,0,1,0,0,0,0,1,0,0,0,0
UC_W0_Nv-3rxpWVvosddhrPw,0,0,0,0,0,0,0,0,0,0,0,0
UCmKxNGiiThXjwTAEIcsGRiQ,1,1,1,0,0,0,0,0,0,0,0,0
UC9WQwO95f6Cjr8St2tk_k9A,0,1,1,0,0,0,0,0,0,0,0,0
UC9WUMVR1jsan7IleT_bolsQ,0,0,1,0,0,0,0,0,0,0,0,0
UCdt_8VcD1Z_voDpdt1KPmBw,0,0,0,0,0,0,0,0,0,0,0,0
UCZb6NHiHNZZ0jeKDLqwm3DQ,1,1,1,0,0,0,0,0,0,0,0,0
UCBNXKrniCm4Qd9v5tTzY-aA,1,0,1,0,0,0,1,0,0,0,0,0
UCLxYJp3AlK5SD-W4lemR34A,0,0,0,0,0,0,0,0,0,0,0,0
UCV6P5rRVmiTL637byUZBTrQ,1,0,1,0,0,0,0,0,0,0,0,0
UCatemi6diUTXvO3zJhXk4qQ,0,0,0,0,0,0,0,1,0,0,0,0
UCxU7xOzM-iMfVnl0YNDOijg,0,0,0,0,0,0,0,0,0,0,0,0
UCtxLiGnI9Fs_74sW7gCTV7A,0,0,1,0,0,0,0,0,0,0,0,0
UC1uG6YE9N_4KS7EgxK65aSQ,0,0,0,0,0,0,0,0,0,0,0,0
